City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
23,Tessalit,ML,88.75,clear sky,20.1986,1.0114,
70,Mayor Pablo Lagerenza,PY,88.92,broken clouds,-19.9309,-60.7718,
112,Conceicao Do Araguaia,BR,87.8,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
138,The Valley,AI,86.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
151,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
175,Arlit,NE,89.2,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
189,Biu,NG,87.26,broken clouds,10.6129,12.1946,Emir's Palace
215,Acapulco,MX,87.8,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
246,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
264,La Asuncion,VE,87.8,clear sky,11.0333,-63.8628,Colinas de Matasiete
331,Puerto Colombia,CO,86.0,few clouds,10.9878,-74.9547,Hotel El Emigrante
340,Lethem,GY,89.49,broken clouds,3.3803,-59.7968,Savannah Inn
401,Anton Lizardo,MX,89.6,few clouds,19.05,-95.9833,Hotel CocoAventura
444,Lazaro Cardenas,MX,85.5,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
543,San Andres,CO,87.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
550,Itaituba,BR,89.6,few clouds,-4.2761,-55.9836,Hotel Campos
553,Puerto Escondido,MX,88.18,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
566,Coahuayana,MX,87.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
577,Jalgaon,IN,85.42,overcast clouds,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
593,Abeche,TD,88.47,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
615,Panama City,PA,89.6,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
624,Sur,OM,86.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
641,Kusti,SD,89.73,scattered clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
661,Jacmel,HT,87.8,few clouds,18.2342,-72.5347,Hotel Florita
